actor,film_name,release_year,genre,average_rating,director,watch_count,list_count,like_count
Scarlett Johansson,Under the Skin,2013,Drama,3.69,Jonathan Glazer,160728,49796,44330
Scarlett Johansson,"Hail, Caesar!",2016,Mystery,3.21,Joel Coen,151627,31534,25972
Scarlett Johansson,Lucy,2014,Science Fiction,2.71,Luc Besson,236482,12999,26186
Scarlett Johansson,The Jungle Book,2016,Drama,3.33,Jon Favreau,201451,21969,32006
Scarlett Johansson,Chef,2014,Comedy,3.58,Jon Favreau,117171,13903,27642
Scarlett Johansson,Ghost in the Shell,2017,Thriller,2.68,Rupert Sanders,109337,14039,11786
Scarlett Johansson,Ghost World,2001,Drama,3.67,Terry Zwigoff,81810,16217,19960
Scarlett Johansson,Don Jon,2013,Drama,2.95,Joseph Gordon-Levitt,111369,8240,12684
Scarlett Johansson,The SpongeBob SquarePants Movie,2004,Family,3.62,Stephen Hillenburg,144935,10225,26075
Scarlett Johansson,Sing,2016,Comedy,2.94,Garth Jennings,105411,9473,13402
Scarlett Johansson,Vicky Cristina Barcelona,2008,Drama,3.38,Woody Allen,79895,10128,12095
Scarlett Johansson,Match Point,2005,Drama,3.62,Woody Allen,72313,9289,12922
Scarlett Johansson,The Man Who Wasn't There,2001,Thriller,3.8,Joel Coen,41517,12829,9109
Scarlett Johansson,The Island,2005,Adventure,2.87,Michael Bay,77257,5354,6881
Scarlett Johansson,He's Just Not That Into You,2009,Comedy,2.73,Ken Kwapis,65908,5953,6128
Scarlett Johansson,Rough Night,2017,Drama,2.48,Lucia Aniello,34204,7501,3021
Scarlett Johansson,We Bought a Zoo,2011,Drama,3.01,Cameron Crowe,53381,4445,5826
Scarlett Johansson,Home Alone 3,1997,Family,1.98,Raja Gosnell,65949,3014,2623
Scarlett Johansson,Hitchcock,2012,Drama,3.01,Sacha Gervasi,33192,4302,3158
Scarlett Johansson,The Other Boleyn Girl,2008,Drama,3.01,Justin Chadwick,31117,2702,2691
Scarlett Johansson,Scoop,2006,Comedy,3,Woody Allen,26806,2915,2632
Scarlett Johansson,The Black Dahlia,2006,Crime,2.56,Brian De Palma,22014,3099,1283
Scarlett Johansson,Girl with a Pearl Earring,2003,Drama,3.14,Peter Webber,23407,2385,2160
Scarlett Johansson,Eight Legged Freaks,2002,Horror,2.44,Ellory Elkayem,25701,2438,2132
Scarlett Johansson,The Nanny Diaries,2007,Romance,2.87,Shari Springer Berman,23519,1728,1768
Scarlett Johansson,The Spirit,2008,Action,1.91,Frank Miller,15012,2526,709
Scarlett Johansson,The Perfect Score,2004,Comedy,2.55,Brian Robbins,10716,1208,722
Scarlett Johansson,In Good Company,2004,Comedy,2.79,Paul Weitz,11677,970,625
Scarlett Johansson,The Horse Whisperer,1998,Romance,3.1,Robert Redford,9635,1419,836
Scarlett Johansson,Woody Allen: A Documentary,2011,Documentary,3.64,Robert B. Weide,6382,667,954
Scarlett Johansson,North,1994,Fantasy,1.89,Rob Reiner,6405,959,242
Scarlett Johansson,Just Cause,1995,Action,2.82,Arne Glimcher,5232,629,365
Scarlett Johansson,A Love Song for Bobby Long,2004,Drama,3.26,Shainee Gabel,3736,589,462
Scarlett Johansson,A Good Woman,2004,Comedy,2.9,Mike Barker,1579,310,128
Scarlett Johansson,Manny & Lo,1996,Drama,3.35,Lisa Krueger,807,374,160
Scarlett Johansson,Floyd Norman: An Animated Life,2016,Documentary,3.53,Michael Fiore,876,219,205
Scarlett Johansson,"Marvel: 75 Years, From Pulp to Pop!",2014,Documentary,3.24,Zak Knutson,948,222,148
Scarlett Johansson,An American Rhapsody,2001,Drama,3.07,Éva Gárdos,442,165,35
Scarlett Johansson,If Lucy Fell,1996,Comedy,2.41,Eric Schaeffer,701,224,37
Scarlett Johansson,My Brother the Pig,1999,Science Fiction,2.27,Erik Fleming,366,62,20
Scarlett Johansson,Bert Stern: Original Madman,2011,Documentary,3.2,Shannah Laumeister Stern,107,56,12
Scarlett Johansson,Fall,1997,Drama,2.91,Eric Schaeffer,148,64,17
